file,organization,doctype_code,matched
"Bộ Công an_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL của bộ, cơ(...).xlsx",Bộ Công an,01d,True
Bộ Công an_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục pháp luật tại(...).xlsx,Bộ Công an,04d,True
"Bộ Công Thương_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL của bộ,(...) copy.xlsx",Bộ Công Thương,01d,True
"Bộ Công Thương_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL của bộ,(...).xlsx",Bộ Công Thương,01d,True
"Bộ Công Thương_02b_TP_KTTTQ_Kết quả kiểm tra, xử lý văn bản theo thẩm quyền(...).xlsx",Bộ Công Thương,02b,True
Bộ Công Thương_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục pháp luật t(...).xlsx,Bộ Công Thương,04d,True
"Bộ Dân tộc và tôn giáo_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL(...).xlsx",Bộ Dân tộc và tôn giáo,01d,True
"Bộ Giáo dục và Đào tạo_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL(...) copy 2.xlsx",Bộ Giáo dục và Đào tạo,01d,True
"Bộ Giáo dục và Đào tạo_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL(...) copy.xlsx",Bộ Giáo dục và Đào tạo,01d,True
"Bộ Giáo dục và Đào tạo_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL(...).xlsx",Bộ Giáo dục và Đào tạo,01d,True
"Bộ Giáo dục và Đào tạo_02b_TP_KTTTQ_Kết quả kiểm tra, xử lý văn bản theo th(...) copy.xlsx",Bộ Giáo dục và Đào tạo,02b,True
"Bộ Giáo dục và Đào tạo_02b_TP_KTTTQ_Kết quả kiểm tra, xử lý văn bản theo th(...).xlsx",Bộ Giáo dục và Đào tạo,02b,True
Bộ Giáo dục và Đào tạo_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục phá(...).xlsx,Bộ Giáo dục và Đào tạo,04d,True
"Bộ Khoa học và Công nghệ_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQP(...) copy.xlsx",Bộ Khoa học và Công nghệ,01d,True
"Bộ Khoa học và Công nghệ_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQP(...).xlsx",Bộ Khoa học và Công nghệ,01d,True
"Bộ Khoa học và Công nghệ_02b_TP_KTTTQ_Kết quả kiểm tra, xử lý văn bản theo(...).xlsx",Bộ Khoa học và Công nghệ,02b,True
Bộ Khoa học và Công nghệ_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục p(...).xlsx,Bộ Khoa học và Công nghệ,04d,True
"Bộ Ngoại giao_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT VBQPPL của bộ,(...).xlsx",Bộ Ngoại giao,01d,True
